TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=26.2517264011,Y=6.79851286128
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=6 A=0
MFC=""
T="0                                   10"
ZONE T="ZONE 001"
 I=1000, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE )
 1.205000019E+001 2.819899940E+001 2.495800018E+001 -3.240999222E+000
 1.210000038E+001 2.639800072E+001 2.362199974E+001 -2.776000977E+000
 1.214999962E+001 2.436300087E+001 2.190600014E+001 -2.457000732E+000
 1.219999981E+001 2.215399933E+001 1.992499924E+001 -2.229000092E+000
 1.225000000E+001 1.981800079E+001 1.775499916E+001 -2.063001633E+000
 1.230000019E+001 1.739100075E+001 1.545199966E+001 -1.939001083E+000
 1.235000038E+001 1.490200043E+001 1.305500031E+001 -1.847000122E+000
 1.239999962E+001 1.237300014E+001 1.059599972E+001 -1.777000427E+000
 1.244999981E+001 9.821999550E+000 8.100000381E+000 -1.721999168E+000
 1.250000000E+001 7.264999866E+000 5.585999966E+000 -1.678999901E+000
 1.255000019E+001 4.711999893E+000 3.069000006E+000 -1.642999887E+000
 1.260000038E+001 2.171999931E+000 5.590000153E-001 -1.612999916E+000
 1.264999962E+001 -3.479999900E-001 -1.935999990E+000 -1.588000059E+000
 1.269999981E+001 -2.844000101E+000 -4.409999847E+000 -1.565999746E+000
 1.275000000E+001 -5.314000130E+000 -6.859000206E+000 -1.545000076E+000
 1.280000019E+001 -7.756999969E+000 -9.281999588E+000 -1.524999619E+000
 1.285000038E+001 -1.017300034E+001 -1.167899990E+001 -1.505999565E+000
 1.289999962E+001 -1.256299973E+001 -1.405000019E+001 -1.487000465E+000
 1.294999981E+001 -1.493099976E+001 -1.639999962E+001 -1.468999863E+000
 1.300000000E+001 -1.728000069E+001 -1.873299980E+001 -1.452999115E+000
 1.305000019E+001 -1.961800003E+001 -2.105500031E+001 -1.437000275E+000
 1.310000038E+001 -2.195400047E+001 -2.337700081E+001 -1.423000336E+000
 1.314999962E+001 -2.429800034E+001 -2.571199989E+001 -1.413999557E+000
 1.319999981E+001 -2.666699982E+001 -2.807500076E+001 -1.408000946E+000
 1.325000000E+001 -2.907999992E+001 -3.048800087E+001 -1.408000946E+000
 1.330000019E+001 -3.156200027E+001 -3.297600174E+001 -1.414001465E+000
 1.335000038E+001 -3.414400101E+001 -3.556900024E+001 -1.424999237E+000
 1.339999962E+001 -3.686100006E+001 -3.830300140E+001 -1.442001343E+000
 1.344999981E+001 -3.975600052E+001 -4.121500015E+001 -1.458999634E+000
 1.350000000E+001 -4.287099838E+001 -4.433900070E+001 -1.468002319E+000
 1.355000019E+001 -4.624399948E+001 -4.769699860E+001 -1.452999115E+000
 1.360000038E+001 -4.989099884E+001 -5.127899933E+001 -1.388000488E+000
 1.364999962E+001 -5.377899933E+001 -5.502199936E+001 -1.243000031E+000
 1.369999981E+001 -5.779600143E+001 -5.877899933E+001 -9.829978943E-001
 1.375000000E+001 -6.172100067E+001 -6.232199860E+001 -6.009979248E-001
 1.380000019E+001 -6.525700378E+001 -6.539099884E+001 -1.339950562E-001
 1.385000038E+001 -6.812899780E+001 -6.779399872E+001 3.349990845E-001
 1.389999962E+001 -7.021499634E+001 -6.949299622E+001 7.220001221E-001
 1.394999981E+001 -7.158399963E+001 -7.058399963E+001 1.000000000E+000
 1.400000000E+001 -7.240899658E+001 -7.122899628E+001 1.180000305E+000
 1.405000019E+001 -7.287100220E+001 -7.157499695E+001 1.296005249E+000
 1.410000038E+001 -7.310700226E+001 -7.173500061E+001 1.372001648E+000
 1.414999962E+001 -7.320899963E+001 -7.178199768E+001 1.427001953E+000
 1.419999981E+001 -7.323100281E+001 -7.176000214E+001 1.471000671E+000
 1.425000000E+001 -7.320600128E+001 -7.169799805E+001 1.508003235E+000
 1.430000019E+001 -7.315299988E+001 -7.161000061E+001 1.542999268E+000
 1.435000038E+001 -7.308200073E+001 -7.150599670E+001 1.576004028E+000
 1.439999962E+001 -7.299900055E+001 -7.139199829E+001 1.607002258E+000
 1.444999981E+001 -7.290799713E+001 -7.126999664E+001 1.638000488E+000
 1.450000000E+001 -7.281199646E+001 -7.114299774E+001 1.668998718E+000
 1.455000019E+001 -7.271199799E+001 -7.101200104E+001 1.699996948E+000
 1.460000038E+001 -7.260800171E+001 -7.087699890E+001 1.731002808E+000
 1.464999962E+001 -7.250199890E+001 -7.073999786E+001 1.762001038E+000
 1.469999981E+001 -7.239199829E+001 -7.059899902E+001 1.792999268E+000
 1.475000000E+001 -7.227999878E+001 -7.045700073E+001 1.822998047E+000
 1.480000019E+001 -7.216600037E+001 -7.031199646E+001 1.854003906E+000
 1.485000038E+001 -7.205000305E+001 -7.016400146E+001 1.886001587E+000
 1.489999962E+001 -7.193099976E+001 -7.001499939E+001 1.916000366E+000
 1.494999981E+001 -7.180999756E+001 -6.986299896E+001 1.946998596E+000
 1.500000000E+001 -7.168699646E+001 -6.970899963E+001 1.977996826E+000
 1.505000019E+001 -7.156199646E+001 -6.955400085E+001 2.007995605E+000
 1.510000038E+001 -7.143399811E+001 -6.939600372E+001 2.037994385E+000
 1.514999962E+001 -7.130500031E+001 -6.923600006E+001 2.069000244E+000
 1.519999981E+001 -7.117299652E+001 -6.907499695E+001 2.097999573E+000
 1.525000000E+001 -7.103900146E+001 -6.891100311E+001 2.127998352E+000
 1.530000019E+001 -7.090299988E+001 -6.874600220E+001 2.156997681E+000
 1.535000038E+001 -7.076399994E+001 -6.857800293E+001 2.185997009E+000
 1.539999962E+001 -7.062400055E+001 -6.840899658E+001 2.215003967E+000
 1.544999981E+001 -7.048200226E+001 -6.823899841E+001 2.243003845E+000
 1.550000000E+001 -7.033699799E+001 -6.806600189E+001 2.270996094E+000
 1.555000019E+001 -7.019000244E+001 -6.789199829E+001 2.298004150E+000
 1.560000038E+001 -7.004100037E+001 -6.771600342E+001 2.324996948E+000
 1.564999962E+001 -6.988999939E+001 -6.753800201E+001 2.351997375E+000
 1.569999981E+001 -6.973699951E+001 -6.735900116E+001 2.377998352E+000
 1.575000000E+001 -6.958200073E+001 -6.717900085E+001 2.402999878E+000
 1.580000019E+001 -6.942500305E+001 -6.699700165E+001 2.428001404E+000
 1.585000038E+001 -6.926599884E+001 -6.681300354E+001 2.452995300E+000
 1.589999962E+001 -6.910399628E+001 -6.662799835E+001 2.475997925E+000
 1.594999981E+001 -6.894100189E+001 -6.644200134E+001 2.499000549E+000
 1.600000000E+001 -6.877600098E+001 -6.625499725E+001 2.521003723E+000
 1.604999924E+001 -6.860900116E+001 -6.606700134E+001 2.541999817E+000
 1.610000038E+001 -6.844000244E+001 -6.587699890E+001 2.563003540E+000
 1.614999962E+001 -6.826899719E+001 -6.568599701E+001 2.583000183E+000
 1.620000076E+001 -6.809600067E+001 -6.549500275E+001 2.600997925E+000
 1.625000000E+001 -6.792099762E+001 -6.530200195E+001 2.618995667E+000
 1.629999924E+001 -6.774500275E+001 -6.510900116E+001 2.636001587E+000
 1.635000038E+001 -6.756700134E+001 -6.491400146E+001 2.652999878E+000
 1.639999962E+001 -6.738700104E+001 -6.471900177E+001 2.667999268E+000
 1.645000076E+001 -6.720600128E+001 -6.452400208E+001 2.681999207E+000
 1.650000000E+001 -6.702300262E+001 -6.432700348E+001 2.695999146E+000
 1.654999924E+001 -6.683799744E+001 -6.412999725E+001 2.708000183E+000
 1.660000038E+001 -6.665200043E+001 -6.393299866E+001 2.719001770E+000
 1.664999962E+001 -6.646399689E+001 -6.373500061E+001 2.728996277E+000
 1.670000076E+001 -6.627500153E+001 -6.353699875E+001 2.738002777E+000
 1.675000000E+001 -6.608499908E+001 -6.333900070E+001 2.745998383E+000
