TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=13.8952323241,Y=5.79320545209
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=5 A=0
MFC=""
T="0                                                              10"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=45.0271784401,Y=61.6514555726
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV-BOLD
H=3 A=0
MFC=""
 1.280000019E+001 -3.194199944E+001 -3.041600037E+001 1.525999069E+000
 1.285000038E+001 -2.989100075E+001 -2.861400032E+001 1.277000427E+000
 1.289999962E+001 -2.748900032E+001 -2.662400055E+001 8.649997711E-001
 1.294999981E+001 -2.475000000E+001 -2.452000046E+001 2.299995422E-001
 1.300000000E+001 -2.178800011E+001 -2.244199944E+001 -6.539993286E-001
 1.305000019E+001 -1.884700012E+001 -2.058699989E+001 -1.739999771E+000
 1.310000038E+001 -1.626499939E+001 -1.917000008E+001 -2.905000687E+000
 1.314999962E+001 -1.436100006E+001 -1.836499977E+001 -4.003999710E+000
 1.319999981E+001 -1.334700012E+001 -1.826600075E+001 -4.919000626E+000
 1.325000000E+001 -1.330000019E+001 -1.888100052E+001 -5.581000328E+000
 1.330000019E+001 -1.418500042E+001 -2.014800072E+001 -5.963000298E+000
 1.335000038E+001 -1.589000034E+001 -2.195899963E+001 -6.068999290E+000
 1.339999962E+001 -1.826000023E+001 -2.418300056E+001 -5.923000336E+000
 1.344999981E+001 -2.111599922E+001 -2.669000053E+001 -5.574001312E+000
 1.350000000E+001 -2.428000069E+001 -2.936499977E+001 -5.084999084E+000
 1.355000019E+001 -2.759399986E+001 -3.211999893E+001 -4.525999069E+000
 1.360000038E+001 -3.093600082E+001 -3.488600159E+001 -3.950000763E+000
 1.364999962E+001 -3.422100067E+001 -3.761199951E+001 -3.390998840E+000
 1.369999981E+001 -3.739099884E+001 -4.025000000E+001 -2.859001160E+000
