 35.3000 -76.91853     0.00  -0.45853   137.94 
 35.4000 -77.04592     0.00  -1.16289   137.00 
 35.5000 -77.06938     0.00  -0.27759   135.89 
 35.6000 -76.71446     0.00   0.44968   134.64 
 35.7000 -76.62098     0.00  -0.08436   133.23 
 35.8000 -76.64042     0.00   0.42428   131.69 
 35.9000 -76.53310     0.00   0.20083   130.01 
 36.0000 -76.40956     0.00   0.49067   128.21 
 36.1000 -76.87572     0.00  -0.09769   128.42 
 36.2000 -76.78444     0.00   0.23690   126.55 
 36.3000 -76.58457     0.00   0.07302   124.58 
 36.4000 -76.62872     0.00   0.14743   122.52 
 36.5000 -76.52454     0.00   0.22744   120.36 
 36.6000 -76.18686     0.00   0.15240   118.13 
 36.7000 -76.00237     0.00   0.37328   115.82 
 36.8000 -75.88949     0.00  -0.21579   113.46 
 36.9000 -75.46931     0.00   0.01003   111.04 
 37.0000 -75.45364     0.00   0.15613   108.59 
 37.1000 -75.89721     0.00  -0.32640   107.58 
 37.2000 -76.05825     0.00  -0.70435   105.18 
 37.3000 -76.31587     0.00  -0.64819   102.76 
 37.4000 -76.36343     0.00  -0.00148   100.33 
 37.5000 -76.47732     0.00   0.20388    97.90 
 37.6000 -76.61904     0.00   0.61960    95.48 
 37.7000 -76.81560     0.00  -0.38422    93.07 
 37.8000 -76.84114     0.00   0.04048    90.69 
 37.9000 -76.85649     0.00   0.34835    88.34 
 38.0000 -77.24860     0.00   0.51156    86.03 
 38.1000 -77.58317     0.00   0.21460    84.97 
 38.2000 -77.41313     0.00   0.03309    82.85 
 38.3000 -77.07180     0.00   0.00009    80.78 
 38.4000 -77.37239     0.00   0.93918    78.79 
 38.5000 -77.07827     0.00   0.02039    76.85 
 38.6000 -76.73251     0.00   0.98624    75.00 
 38.7000 -77.04299     0.00   0.38831    73.23 
 38.8000 -77.02861     0.00   0.02078    71.53 
 38.9000 -76.70356     0.00  -0.77104    69.93 
 39.0000 -76.68863     0.00  -0.41045    68.42 
 39.1000 -76.62971     0.00   0.30630    68.36 
 39.2000 -76.72815     0.00   0.19698    67.15 
 39.3000 -76.59196     0.00   0.02916    66.04 
 39.4000 -76.47541     0.00   0.02346    65.03 
